arm,entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,split
samanantar,1.486,0.006531,,,,,,,,1.243,3.75e-05,1.887,0.6201,16600.0,train
samanantar,2.036,0.01306,,,,,,,,1.061,7.917e-05,1.886,0.6026,32560.0,train
samanantar,1.535,0.01959,,,,,,,,1.094,9.999e-05,1.69,0.6349,48330.0,train
samanantar,1.836,0.02612,,,,,,,,1.778,9.992e-05,1.791,0.6134,64830.0,train
samanantar,1.659,0.03265,,,,,,,,0.9871,9.977e-05,1.685,0.6309,81740.0,train
samanantar,1.698,0.03918,,,,,,,,1.036,9.955e-05,1.676,0.6345,97750.0,train
samanantar,1.672,0.04571,,,,,,,,1.043,9.926e-05,1.731,0.619,114000.0,train
samanantar,1.679,0.05224,,,,,,,,1.218,9.889e-05,1.665,0.6368,130100.0,train
samanantar,1.67,0.05878,,,,,,,,1.016,9.845e-05,1.698,0.6381,146000.0,train
samanantar,1.7,0.06531,,,,,,,,1.261,9.794e-05,1.721,0.63,162300.0,train
samanantar,,0.06531,1.713,1.64,0.6338,162300.0,19.88,50.3,6.288,,,,,,eval
samanantar,1.633,0.07184,,,,,,,,0.9646,9.736e-05,1.632,0.638,178700.0,train
samanantar,1.683,0.07837,,,,,,,,0.896,9.671e-05,1.701,0.6407,195200.0,train
samanantar,1.634,0.0849,,,,,,,,1.152,9.6e-05,1.567,0.6482,211400.0,train
samanantar,1.63,0.09143,,,,,,,,0.9609,9.521e-05,1.725,0.6268,228300.0,train
samanantar,1.707,0.09796,,,,,,,,1.128,9.436e-05,1.694,0.6325,244500.0,train
samanantar,1.671,0.1045,,,,,,,,0.9636,9.344e-05,1.705,0.6278,260800.0,train
samanantar,1.696,0.111,,,,,,,,0.9637,9.247e-05,1.687,0.6281,276900.0,train
samanantar,1.588,0.1176,,,,,,,,1.123,9.143e-05,1.607,0.6529,293600.0,train
samanantar,1.645,0.1241,,,,,,,,0.9678,9.033e-05,1.654,0.6377,310000.0,train
samanantar,1.656,0.1306,,,,,,,,1.077,8.917e-05,1.646,0.64,326100.0,train
samanantar,,0.1306,1.652,1.625,0.6352,326100.0,19.76,50.6,6.325,,,,,,eval
samanantar,1.714,0.1371,,,,,,,,1.12,8.796e-05,1.685,0.6317,342700.0,train
samanantar,1.74,0.1437,,,,,,,,1.003,8.669e-05,1.761,0.6224,359500.0,train
samanantar,1.637,0.1502,,,,,,,,0.9582,8.537e-05,1.61,0.6367,375900.0,train
samanantar,1.599,0.1567,,,,,,,,0.98,8.4e-05,1.655,0.6295,392300.0,train
samanantar,1.637,0.1633,,,,,,,,0.9061,8.259e-05,1.612,0.6503,408300.0,train
samanantar,1.585,0.1698,,,,,,,,0.8612,8.113e-05,1.613,0.6499,425000.0,train
samanantar,1.736,0.1763,,,,,,,,0.9935,7.962e-05,1.791,0.6214,442100.0,train
samanantar,1.626,0.1829,,,,,,,,0.9126,7.808e-05,1.609,0.6388,459100.0,train
samanantar,1.726,0.1894,,,,,,,,0.9157,7.649e-05,1.721,0.6272,476400.0,train
samanantar,1.677,0.1959,,,,,,,,0.9936,7.488e-05,1.695,0.6351,492700.0,train
samanantar,,0.1959,1.605,1.611,0.6368,492700.0,20.0,50.01,6.252,,,,,,eval
samanantar,1.595,0.2024,,,,,,,,0.9382,7.323e-05,1.534,0.6492,508800.0,train
samanantar,1.671,0.209,,,,,,,,0.933,7.155e-05,1.731,0.6174,525800.0,train
samanantar,1.728,0.2155,,,,,,,,1.072,6.984e-05,1.691,0.6231,542600.0,train
